filename,age,gender,dominant_gender,error
id24_542.jpg,26.0,"{'Woman': 11.603524535894394, 'Man': 88.39647769927979}",Man,
id83_2265.jpg,35.0,"{'Woman': 32.88310468196869, 'Man': 67.11689829826355}",Man,
id78_2249.jpg,29.0,"{'Woman': 2.2528570145368576, 'Man': 97.747141122818}",Man,
id123_3215.jpg,33.0,"{'Woman': 22.891120612621307, 'Man': 77.10887789726257}",Man,
id119_3172.jpg,28.0,"{'Woman': 9.408938884735107, 'Man': 90.59106111526489}",Man,
id23_351.jpg,31.0,"{'Woman': 0.4603995941579342, 'Man': 99.53959584236145}",Man,
id60_1599.jpg,24.0,"{'Woman': 2.0933423191308975, 'Man': 97.9066550731659}",Man,
id96_2495.jpg,31.0,"{'Woman': 32.74998068809509, 'Man': 67.25001931190491}",Man,
id18_488.jpg,30.0,"{'Woman': 11.936294287443161, 'Man': 88.06370496749878}",Man,
id36_1359.jpg,34.0,"{'Woman': 69.00146007537842, 'Man': 30.998539924621582}",Woman,
id43_1165.jpg,32.0,"{'Woman': 20.500101149082184, 'Man': 79.49989438056946}",Man,
id24_494.jpg,38.0,"{'Woman': 11.637911945581436, 'Man': 88.36208581924438}",Man,
id24_428.jpg,25.0,"{'Woman': 8.964797109365463, 'Man': 91.03519916534424}",Man,
id84_2159.jpg,32.0,"{'Woman': 9.445714950561523, 'Man': 90.55429100990295}",Man,
id78_2199.jpg,33.0,"{'Woman': 12.004636973142624, 'Man': 87.9953682422638}",Man,
id59_1567.jpg,,,,'tuple' object has no attribute 'shape'
id24_455.jpg,26.0,"{'Woman': 3.796202316880226, 'Man': 96.20380401611328}",Man,
id119_3126.jpg,34.0,"{'Woman': 13.210020959377289, 'Man': 86.78997755050659}",Man,
id8_115.jpg,32.0,"{'Woman': 28.299203515052795, 'Man': 71.70079350471497}",Man,
id1_6.jpg,28.0,"{'Woman': 5.7634856551885605, 'Man': 94.23651099205017}",Man,
id7_102.jpg,32.0,"{'Woman': 19.77684050798416, 'Man': 80.22315502166748}",Man,
id94_2516.jpg,25.0,"{'Woman': 2.5593768805265427, 'Man': 97.44062423706055}",Man,
